Annee,Commune,Pluie_Semis_mm,Max_Jours_Secs_Semis,Pluie_Floraison_mm,Max_Jours_Secs_Floraison,Pluie_Maturation_mm,Max_Jours_Secs_Maturation,Rendement_kg_ha,pH_Sol,Argile_Perc,Azote_g_kg,Pluie_Totale_mm,Temp_Max_Moy_C,Temp_Min_Moy_C,Radiation_Solaire_MJ,Humidite_Relative_Perc,ETP_mm,Bilan_Hydrique_mm
2010,BOUKOUMBÉ,371.27,0,573.7,0,161.47,19,1825.91,6.2,22.5,1.25,1106.44,33.5,22.0,17.5,84.0,1100.0,6.440000000000055
2011,BOUKOUMBÉ,331.24,0,542.17,0,109.53,39,517.68,6.2,22.5,1.25,982.94,33.5,22.0,17.5,84.0,1100.0,-117.06000000000006
2012,BOUKOUMBÉ,434.73,0,461.5,0,157.92,29,551.88,6.2,22.5,1.25,1054.15,33.5,22.0,17.5,84.0,1100.0,-45.84999999999991
2013,BOUKOUMBÉ,315.12,2,346.53,1,79.95,21,596.4,6.2,22.5,1.25,741.6,33.5,22.0,17.5,84.0,1100.0,-358.4
2014,BOUKOUMBÉ,277.56,4,486.35,0,111.12,25,481.58,6.2,22.5,1.25,875.0300000000001,33.5,22.0,17.5,84.0,1100.0,-224.9699999999999
2015,BOUKOUMBÉ,336.95,2,486.98,1,145.93,29,395.97,6.2,22.5,1.25,969.86,33.5,22.0,17.5,84.0,1100.0,-130.13999999999987
2016,BOUKOUMBÉ,431.68,2,531.17,1,67.62,39,709.89,6.2,22.5,1.25,1030.4699999999998,33.5,22.0,17.5,84.0,1100.0,-69.5300000000002
2017,BOUKOUMBÉ,523.66,1,629.86,1,63.65,37,675.69,6.2,22.5,1.25,1217.17,33.5,22.0,17.5,84.0,1100.0,117.17000000000009
2018,BOUKOUMBÉ,544.76,2,417.54,1,91.86,30,721.51,6.2,22.5,1.25,1054.16,33.5,22.0,17.5,84.0,1100.0,-45.84000000000015
2019,BOUKOUMBÉ,536.61,2,504.13,1,267.88,16,746.89,6.2,22.5,1.25,1308.62,33.5,22.0,17.5,84.0,1100.0,208.6199999999999
2020,BOUKOUMBÉ,498.21,3,548.22,4,192.11,39,952.16,6.2,22.5,1.25,1238.54,33.5,22.0,17.5,84.0,1100.0,138.53999999999996
2010,COBLY,397.64,1,560.16,0,146.53,19,1187.57,6.2,22.5,1.25,1104.33,33.7,22.200000000000003,17.5,84.0,1100.0,4.329999999999927
2011,COBLY,338.66,1,573.62,1,85.2,39,526.2,6.2,22.5,1.25,997.48,33.7,22.200000000000003,17.5,84.0,1100.0,-102.51999999999998
2012,COBLY,449.34,0,512.97,0,151.73,29,646.78,6.2,22.5,1.25,1114.04,33.7,22.200000000000003,17.5,84.0,1100.0,14.039999999999964
2013,COBLY,366.99,1,388.31,0,57.37,44,727.63,6.2,22.5,1.25,812.67,33.7,22.200000000000003,17.5,84.0,1100.0,-287.33000000000004
2014,COBLY,307.96,5,497.33,1,77.69,20,745.24,6.2,22.5,1.25,882.98,33.7,22.200000000000003,17.5,84.0,1100.0,-217.02
2015,COBLY,436.83,2,659.38,1,142.24,29,430.29,6.2,22.5,1.25,1238.45,33.7,22.200000000000003,17.5,84.0,1100.0,138.45000000000005
2016,COBLY,512.23,2,635.66,2,69.03,39,939.02,6.2,22.5,1.25,1216.9199999999998,33.7,22.200000000000003,17.5,84.0,1100.0,116.91999999999985
2017,COBLY,700.06,1,628.14,1,75.42,38,786.43,6.2,22.5,1.25,1403.62,33.7,22.200000000000003,17.5,84.0,1100.0,303.6199999999999
2018,COBLY,602.03,2,513.82,1,97.48,30,823.05,6.2,22.5,1.25,1213.33,33.7,22.200000000000003,17.5,84.0,1100.0,113.32999999999991
2019,COBLY,660.86,3,516.23,1,254.41,18,911.22,6.2,22.5,1.25,1431.5000000000002,33.7,22.200000000000003,17.5,84.0,1100.0,331.5000000000002
2020,COBLY,547.56,3,610.85,3,193.4,39,773.74,6.2,22.5,1.25,1351.81,33.7,22.200000000000003,17.5,84.0,1100.0,251.81
2010,KÉROU,340.25,1,489.1,0,112.29,22,920.04,6.2,22.5,1.25,941.64,33.9,22.4,17.5,84.0,1100.0,-158.36
2011,KÉROU,283.23,1,462.98,1,76.63,39,1041.97,6.2,22.5,1.25,822.84,33.9,22.4,17.5,84.0,1100.0,-277.16
2012,KÉROU,367.84,1,441.81,0,136.93,29,834.23,6.2,22.5,1.25,946.58,33.9,22.4,17.5,84.0,1100.0,-153.42000000000007
2013,KÉROU,296.83,1,336.77,0,46.61,44,973.66,6.2,22.5,1.25,680.2099999999999,33.9,22.4,17.5,84.0,1100.0,-419.7900000000001
2014,KÉROU,245.59,5,432.43,1,59.52,25,1167.32,6.2,22.5,1.25,737.54,33.9,22.4,17.5,84.0,1100.0,-362.46
2015,KÉROU,317.81,2,610.49,0,82.28,34,928.85,6.2,22.5,1.25,1010.58,33.9,22.4,17.5,84.0,1100.0,-89.42000000000007
2016,KÉROU,389.05,2,501.9,2,42.04,39,1119.66,6.2,22.5,1.25,932.99,33.9,22.4,17.5,84.0,1100.0,-167.01
2017,KÉROU,508.55,2,435.09,2,56.42,49,1247.55,6.2,22.5,1.25,1000.06,33.9,22.4,17.5,84.0,1100.0,-99.94000000000004
2018,KÉROU,489.67,2,537.58,1,76.18,32,1145.44,6.2,22.5,1.25,1103.43,33.9,22.4,17.5,84.0,1100.0,3.430000000000064
