,Rendement_kg_ha
Pluie_Floraison_mm,0.2335583169704034
Ratio_Pluie_Critique_Mat,0.2178285127027544
Max_Jours_Secs_Maturation,0.20154297037607508
Ratio_Pluie_Floraison_Semis,0.1832051466206198
Ratio_Pluie_Thermique,0.16155955906552788
Stress_Hydrique_Maturation,0.16140254311070928
Stress_Hydrique_Total,0.15477720615768104
Score_Agro_Composite,0.10641794387529319
Intensite_Bilan_Hydrique,0.10021691512575973
Efficience_Hydrique_Sol,0.09302506238932444
Bilan_Hydrique_mm,0.09302506238932444
Index_Hydro_Thermique,0.09302506238932444
Pluie_Totale_mm,0.09302506238932436
Index_Hydro_Solaire,0.09302506238932412
Azote_x_BH,0.06637115591245463
Annee,0.045847445825316684
Pluie_Semis_mm,0.007336156909770705
Max_Jours_Secs_Semis,-0.09090295832563904
Ratio_ETP_Pluie,-0.10021691512575948
Stress_Hydrique_Semis,-0.10721513820146002
Pluie_Maturation_mm,-0.146847159541931
Total_Jours_Secs_Critiques,-0.17502760695449565
Max_Jours_Secs_Floraison,-0.17669730852219875
Stress_Hydrique_Floraison,-0.1966721612246725
pH_Sol,
Argile_Perc,
Azote_g_kg,
Temp_Max_Moy_C,
Temp_Min_Moy_C,
Radiation_Solaire_MJ,
Humidite_Relative_Perc,
ETP_mm,
Amplitude_Thermique,
Index_Evapo_Thermique,
Dev_Thermique_Nationale,
Dispo_Azote_Sol,
Index_Qualite_Fixation,
pH_x_Humidite,
Efficacite_Azote_pH,
